#Wavelength (nm)	6.4 nm	9.23 nm	11.8 nm
233.7	0.69476	0.73418	0.79175
233.8	0.69492	0.73432	0.7919
233.9	0.69508	0.73445	0.79206
234	0.69524	0.73459	0.79222
234.1	0.6954	0.73472	0.79237
234.2	0.69556	0.73485	0.79253
234.3	0.69572	0.73498	0.79268
234.4	0.69588	0.73512	0.79284
234.5	0.69604	0.73525	0.793
234.6	0.69619	0.73538	0.79315
234.7	0.69635	0.73551	0.7933
234.8	0.69651	0.73564	0.79346
234.9	0.69666	0.73577	0.79361
235	0.69682	0.7359	0.79377
235.1	0.69697	0.73602	0.79392
235.2	0.69713	0.73615	0.79407
235.3	0.69728	0.73628	0.79423
235.4	0.69743	0.73641	0.79438
235.5	0.69758	0.73654	0.79453
235.6	0.69774	0.73666	0.79468
235.7	0.69789	0.73679	0.79483
235.8	0.69804	0.73691	0.79498
235.9	0.69819	0.73704	0.79514
236	0.69833	0.73717	0.79529
236.1	0.69848	0.73729	0.79544
236.2	0.69863	0.73742	0.79559
236.3	0.69878	0.73754	0.79574
236.4	0.69892	0.73767	0.79589
236.5	0.69907	0.73779	0.79604
236.6	0.69922	0.73792	0.79619
236.7	0.69936	0.73804	0.79634
236.8	0.69951	0.73816	0.79648
236.9	0.69965	0.73829	0.79663
237	0.69979	0.73841	0.79678
237.1	0.69994	0.73854	0.79693
237.2	0.70008	0.73866	0.79708
237.3	0.70022	0.73878	0.79722
237.4	0.70036	0.73891	0.79737
237.5	0.7005	0.73903	0.79752
237.6	0.70064	0.73915	0.79767
237.7	0.70078	0.73928	0.79781
237.8	0.70092	0.7394	0.79796
237.9	0.70106	0.73953	0.7981
238	0.70119	0.73965	0.79825
238.1	0.70133	0.73977	0.7984
238.2	0.70147	0.7399	0.79854
238.3	0.70161	0.74002	0.79869
238.4	0.70174	0.74014	0.79883
238.5	0.70188	0.74027	0.79898
238.6	0.70201	0.74039	0.79912
238.7	0.70214	0.74052	0.79927
238.8	0.70228	0.74064	0.79941
238.9	0.70241	0.74077	0.79955
239	0.70254	0.74089	0.7997
239.1	0.70268	0.74101	0.79984
239.2	0.70281	0.74114	0.79999
239.3	0.70294	0.74126	0.80013
