#Wavelength (nm)	6.4 nm	9.23 nm	11.8 nm
432.9837	0.7978	0.8465	0.9184
433.9837	0.7982	0.8462	0.9183
434.9836	0.7987	0.8466	0.9184
435.9835	0.7988	0.8468	0.918
436.9835	0.7989	0.847	0.9177
437.9834	0.7986	0.8471	0.9173
438.9833	0.7986	0.8475	0.9175
439.9833	0.7986	0.8473	0.9181
440.9832	0.7987	0.8472	0.9186
441.9832	0.7998	0.8472	0.9192
442.9831	0.8009	0.848	0.9193
443.983	0.8012	0.8483	0.9194
444.9829	0.8013	0.8483	0.9196
445.9828	0.8017	0.8483	0.9197
446.9828	0.8024	0.8481	0.92
447.9827	0.8031	0.8481	0.9198
448.9827	0.8039	0.8482	0.9192
449.9826	0.804	0.8482	0.9187
450.9825	0.8036	0.8486	0.9184
451.9825	0.803	0.8487	0.9177
452.9824	0.8034	0.849	0.9174
453.9823	0.8037	0.8491	0.9169
454.9823	0.8035	0.8496	0.9169
455.9822	0.8034	0.85	0.9171
456.9821	0.8037	0.8503	0.9177
457.9821	0.8036	0.8505	0.9174
458.982	0.8039	0.8511	0.9174
459.9819	0.8046	0.851	0.9178
460.9818	0.8053	0.8507	0.9183
461.9818	0.8054	0.8507	0.9185
462.9817	0.8056	0.851	0.9188
463.9817	0.8063	0.8507	0.9189
464.9816	0.8067	0.8503	0.9183
465.9815	0.8066	0.85	0.9178
466.9814	0.8066	0.8499	0.9179
467.9814	0.8065	0.8496	0.9177
468.9813	0.8066	0.8496	0.9173
469.9812	0.8064	0.8497	0.9173
470.9812	0.8066	0.8495	0.9175
471.9811	0.8066	0.8494	0.9171
472.981	0.806	0.8491	0.9168
473.981	0.8063	0.8495	0.9174
474.9809	0.8069	0.85	0.9178
475.9808	0.8073	0.8501	0.918
476.9808	0.8079	0.8505	0.9185
477.9807	0.808	0.8506	0.9187
478.9806	0.8078	0.8503	0.9185
479.9806	0.8076	0.85	0.9182
480.9805	0.8075	0.8494	0.9181
481.9804	0.8073	0.8491	0.9176
482.9804	0.8068	0.8486	0.917
483.9803	0.8059	0.8477	0.9164
484.9802	0.8051	0.8472	0.9163
485.9802	0.8043	0.8461	0.9158
486.9801	0.8034	0.8447	0.9151
487.98	0.8033	0.8444	0.915
488.9799	0.8032	0.8443	0.9145
489.9799	0.8024	0.8437	0.9137
490.9798	0.8019	0.8432	0.9136
491.9798	0.8012	0.8428	0.9129
492.9797	0.8005	0.8422	0.912
493.9796	0.7997	0.8416	0.911
494.9796	0.7993	0.8416	0.9105
495.9795	0.7995	0.8418	0.9105
496.9794	0.7989	0.8412	0.91
497.9793	0.798	0.8405	0.9097
498.9793	0.7977	0.8403	0.9101
499.9792	0.7974	0.8398	0.9098
500.9792	0.797	0.8392	0.9095
501.9791	0.7965	0.8389	0.9097
502.979	0.796	0.8386	0.9101
503.9789	0.7949	0.8378	0.9098
504.9789	0.7938	0.8369	0.9091
505.9788	0.7927	0.8361	0.9085
506.9788	0.7915	0.8348	0.9082
507.9787	0.7901	0.8335	0.9072
508.9786	0.7888	0.8326	0.9068
509.9785	0.7876	0.8316	0.9064
510.9785	0.7868	0.8308	0.9063
511.9784	0.7854	0.8293	0.9054
512.9783	0.7846	0.8284	0.9054
513.9783	0.7835	0.8278	0.9055
514.9782	0.7824	0.8269	0.9055
515.9781	0.7815	0.826	0.9054
516.978	0.7804	0.825	0.9056
517.978	0.7793	0.8241	0.9051
518.9779	0.7781	0.823	0.9046
519.9779	0.7767	0.8214	0.9039
520.9778	0.7761	0.8206	0.9036
521.9777	0.7748	0.8193	0.9029
522.9777	0.7729	0.8177	0.9023
523.9776	0.7711	0.8161	0.9012
524.9775	0.7696	0.815	0.9004
525.9775	0.7681	0.8141	0.9
526.9774	0.7662	0.8124	0.8998
527.9773	0.7651	0.811	0.8997
528.9773	0.764	0.8103	0.8998
529.9772	0.7625	0.8091	0.9
530.9771	0.7608	0.8078	0.8995
531.9771	0.7599	0.8066	0.899
532.977	0.7591	0.806	0.8992
533.9769	0.7581	0.8049	0.899
534.9769	0.7571	0.8038	0.8987
535.9768	0.756	0.8034	0.8985
536.9767	0.754	0.8027	0.8982
537.9767	0.7523	0.8018	0.8981
538.9766	0.7511	0.8009	0.898
539.9766	0.7501	0.7999	0.898
540.9764	0.7488	0.7991	0.8983
541.9764	0.7473	0.7981	0.8983
542.9763	0.7456	0.7971	0.8984
543.9763	0.7438	0.796	0.8982
544.9762	0.7426	0.7948	0.8982
545.9761	0.7417	0.7939	0.8982
546.9761	0.7411	0.7929	0.898
547.976	0.7398	0.7924	0.8978
548.976	0.7383	0.7918	0.8978
549.9758	0.7373	0.7911	0.8976
550.9758	0.7361	0.7901	0.8973
551.9757	0.7351	0.7893	0.8973
552.9756	0.7342	0.7887	0.8975
553.9756	0.733	0.7879	0.8972
554.9755	0.7318	0.7868	0.8972
555.9755	0.73	0.786	0.897
556.9753	0.7286	0.7846	0.897
557.9753	0.7277	0.7838	0.897
558.9752	0.7264	0.7831	0.8975
559.9752	0.7251	0.7825	0.8981
560.9751	0.7239	0.7821	0.8987
561.975	0.7225	0.7815	0.8993
562.975	0.7217	0.7812	0.9002
563.9749	0.7208	0.7814	0.9012
564.9749	0.7197	0.7812	0.9013
565.9747	0.7189	0.7814	0.9024
566.9747	0.7171	0.781	0.9029
567.9746	0.7158	0.7806	0.9034
568.9745	0.7152	0.7803	0.904
569.9745	0.7144	0.7799	0.9047
570.9744	0.7135	0.7794	0.905
571.9744	0.712	0.7789	0.9052
572.9743	0.7107	0.7778	0.9049
573.9742	0.71	0.7774	0.9055
574.9741	0.7094	0.7767	0.9058
575.9741	0.7087	0.776	0.9062
576.974	0.7075	0.7754	0.9063
577.974	0.7064	0.7748	0.9063
578.9739	0.7058	0.7748	0.9068
579.9738	0.7054	0.7748	0.9074
580.9738	0.7051	0.7744	0.9076
581.9737	0.7048	0.7743	0.9085
582.9736	0.7041	0.7743	0.9093
583.9735	0.7027	0.774	0.9096
584.9735	0.7023	0.7742	0.9096
585.9734	0.7021	0.7746	0.9104
586.9734	0.7013	0.7752	0.9115
587.9733	0.7002	0.7748	0.9118
588.9732	0.6991	0.7744	0.9119
589.9731	0.6979	0.7743	0.9123
590.9731	0.6967	0.7741	0.9122
591.973	0.6959	0.7739	0.9119
592.9729	0.696	0.7742	0.9122
593.9729	0.6953	0.7744	0.9134
594.9728	0.6946	0.7741	0.9138
595.9728	0.6945	0.7738	0.9139
596.9727	0.6944	0.7745	0.9144
597.9726	0.6945	0.7753	0.9153
598.9725	0.6946	0.7764	0.9166
599.9725	0.6945	0.7772	0.9174
600.9724	0.6944	0.7775	0.9182
601.9724	0.694	0.7776	0.9187
602.9723	0.6938	0.7778	0.9187
603.9722	0.6937	0.7781	0.9189
604.9722	0.6935	0.7782	0.9195
605.972	0.6935	0.7776	0.9202
606.972	0.6931	0.7776	0.9206
607.9719	0.6931	0.7776	0.9211
608.9719	0.6929	0.778	0.9215
609.9718	0.6923	0.7783	0.9217
610.9717	0.6923	0.7789	0.9223
611.9717	0.6923	0.7795	0.9232
612.9716	0.692	0.7798	0.9234
613.9716	0.6919	0.7806	0.9235
614.9714	0.6914	0.7819	0.9234
615.9714	0.6911	0.7823	0.9238
616.9713	0.6905	0.7825	0.9239
617.9713	0.6903	0.7827	0.9243
618.9712	0.6904	0.7832	0.9247
619.9711	0.6898	0.7833	0.9247
620.9711	0.6896	0.7838	0.9253
621.9709	0.6896	0.7849	0.926
622.9709	0.6901	0.7864	0.9268
623.9708	0.6897	0.7871	0.9267
624.9708	0.6898	0.7879	0.9268
625.9707	0.69	0.7886	0.9271
626.9706	0.6907	0.7895	0.9286
627.9706	0.6909	0.7901	0.9297
628.9705	0.6916	0.7914	0.9316
629.9705	0.6921	0.7924	0.9323
630.9703	0.6924	0.7933	0.9332
631.9703	0.6925	0.7934	0.9343
632.9702	0.6926	0.7933	0.9351
633.9702	0.6921	0.7934	0.9353
634.9701	0.692	0.7942	0.9355
635.97	0.6915	0.7939	0.935
