	Paper / Author					Automatic		Measure with FFT	Laser fluence		SUMMARY		MEASURE on PICTURE				LASER PARAMETERS						Orientation	Calculations						Modeling		Multilayer structure				DETAILS on MATERIAL					ENVIRONMENT DETAILS														
Material	Author	Journal	Year	Path for more details	Wavelength (nm)	Normalized period	Type of structures	Regularity angle (deg)	Peak Fluence (J/cm²)	Pulse Fluence (J/cm²)	Period (nm)	Error (nm)	Min period (nm)	Max	N oscillations (-1)		tau (ps) - pusle duration	Pulse energy (J)		Laser Intensity (W/cm²)	N - number of pulses	Scanning velocity (m/s)	Scanning direction (vs. Pollarisation of E)	Total power	Total (J/cm²)	Erreur abs /2	Erreur	Erreur /2		Calculated NeMax	SPP period	Layer type	Substrate	Thickness (µm)	Thickness of each layer (nm)	Structure atomic	Gap (eV)	Orientation of crystal	Melting threshold (Intensity) (W/m²)	Ablation threshold (W/m²)	Environment (water, gas ... )	Atmosphere type	Pressure atmosphere	Rep. Rate (Hz)	Doping (#/m3) (+p, -n)	Spot diameter X (µm)	Spot diameter Y (µm)	SpotFWHM (µm)	Regularity	Angle of incidence	Polarisation	Polarisation  Type	Orientation (0: perpendicular, 90: paralel, 45:circular)	Focalisation	Lens focal (m)
Si	Reif	MSE B 134 114	2006		800	0.63					500.00						0.1							0.00E+00				0.0%								C.F.C.	1.12	001	1500000000000000	5000000000000000		Vacuum			1.00E+21			100.00				Linear			
GaP	Chakravarty	JAP 109 084347	2011		800	0.00			1.00		0.00				1		0.045				?							0.0%									2.3															Circular			
GaP	Chakravarty	JAP 109 084347	2011		800	0.28			0.10		225.00		2.10E-07	2.40E-07	1		4.50E-02				?							0.0%									2.3													0		Linear			
GaP	Chakravarty	JAP 109 084347	2011		800	0.76			1.00		610.00		5.70E-07	6.50E-07	1		4.50E-02				?							0.0%									2.3																		
GaAs	Chakravarty	JAP 109 084347	2011		800	0.73					585.00		4.60E-07	7.10E-07	1		4.50E-02				?							0.0%									1.42																		
InP	Chakravarty	JAP 109 084347	2011		800	0.58					465.00		4.00E-07	5.30E-07	1		4.50E-02				?							0.0%									1.35																		
GaN	Chakravarty	JAP 109 084347	2011		800	0.33					265.00		2.50E-07	2.80E-07	1		4.50E-02				?							0.0%									3.4																		
SiC	Chakravarty	JAP 109 084347	2011		800	0.21					170.00		1.60E-07	1.80E-07	1		4.50E-02				?							0.0%									3.37																		
SiC	Chakravarty	JAP 109 084347	2011		800	0.11					88.50		8.30E-08	9.40E-08	1		4.50E-02				?							0.0%									3.37																		
InP	Chakravarty	JAP 109 084347	2011		800	0.88					705.00		6.10E-07	8.00E-07	1		4.50E-02				?							0.0%									1.35																		
GaP	Chakravarty	JAP 109 084347	2011		800	0.24					190.00		1.90E-07	1.90E-07	1		4.50E-02				?							0.0%									2.3																		
SiO2	Seifert	APA 81 4	2004		400	1.59			1.00		635.00		6.20E-07	6.50E-07	1		1.50E-01				50							0.0%									9							1000								Linear	90		
SiO2	Seifert	APA 81 4	2004		400	1.59					635.00		5.70E-07	7.00E-07	1		1.50E-01				100							0.0%									9															Linear	90		
Si	Costache	APA 79 1429	2004		800	0.93			0.19		745.00		6.90E+02	8.00E+02	1		1.20E-01			1.60E+12	10000			1.60E+16		27.50	7.4%	3.7%								cubic	1.12	100				Vacuum		1000								Linear	0		
Si	Costache	APA 79 1429	2004		800	0.83					660.00		6.10E+02	7.10E+02	1		1.20E-01			1.60E+12	20000			3.20E+16		25.00	7.6%	3.8%								cubic	1.12	100				Vacuum		1000								Linear	0		
Si	Costache	APA 79 1429	2004		800	0.26			0.48		205.00		1.90E+02	2.20E+02	1		1.20E-01			4.00E+12	60000			2.40E+17		7.50	7.3%	3.7%								cubic	1.12	100				Vacuum		1000								Linear	90		
c-SiO2	Budiman	APA 98 849	2010		800	0.00											1.70E-01											0.0%									8																90		
c-SiO2	Ihlemann	APA 54 363	1992		248	3.06			8.20		760.00		710	810	1		0.5			1.64E+13	70			1.15E+15	574.00		13.2%	6.6%									8					Air								0	-	-	-		
InP	Bonse	JAP 97 013538	2005		800	0.20			0.24		159.00		1.55E-07	1.63E-07	10		0.13			1.85E+12	5			9230769230769.25			0.5%	0.3%								cubic						Air										Linear	0		
Al/Ti thin layers	Kovacevic	ASS 326  91	2015		390	0.82					317.86		2150	2300	7		0.15			1.06E+06	760000000			805600000000000									Si	0.13	13			100			?					?	?	?							
Al/Ti thin layers	Kovacevic	ASS 326  91	2015		390	0.79			0.169	0.14	310.00		290	330	1		0.15				152000000	0		0	25638554.22								Si	0.13	13			100			?					?	?	?		0		Linear	0		
Al/Ti thin layers	Kovacevic	ASS 326  91	2015		390	0.81			0.164	0.136	314.00		294	334	1		0.15				760000000	0		0	124530120.48								Si	0.13	13			100			?					?	?	?		0		Linear	0		
Al/Ti thin layers	Kovacevic	ASS 326  91	2015		390	0.82			0.169	0.14	320.00		300	340	1		0.15				23000000000	0.000005		0	3879518072.29								Si	0.13	13			100			?					?	?	?		0		Linear	0		
Al	Kovacevic	ASS 326  91	2015		390	0.90			0.104	0.086	350.00		330	370	1		0.15					0.000005		0	0.00								Si	0.13				100			?					?	?	?		0		Linear	0		
Al	Kovacevic	ASS 326  91	2015		390	0.67			0.104	0.086	260.00		240	280	1		0.15				76000000	0		0	7874698.80								Si	0.13				100			?					?	?	?		0		Linear	0		
Al	Kovacevic	ASS 326  91	2015		390	0.67			0.104	0.086	262.00		242	282	1		0.15				304000000	0		0	31498795.18								Si	0.13				100			?					?	?	?		0		Linear	0		
Al	Kovacevic	ASS 326  91	2015		390	0.81			0.104	0.086	314.00		294	334	1		0.15				760000000	0		0	78746987.95								Si	0.13				100			?					?	?	?		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	#VALUE!			1.410	1.17	no data provided		no data provided	no data provided			0.25				2			0	2.82		#VALUE!							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.24			1.410	1.17	122.43		109.125	135.741	1		0.25				3			0	4.23		21.7%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.22			1.410	1.17	115.11		106.464	123.764	1		0.25				4			0	5.64		15.0%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.25			1.410	1.17	127.09		117.11	137.072	1		0.25				5			0	7.05		15.7%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.26			1.410	1.17	135.08		117.11	153.042	1		0.25				6			0	8.46		26.6%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.27			1.410	1.17	139.07		127.757	150.38	1		0.25				7			0	9.87		16.3%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.25			1.410	1.17	127.09		101.141	153.042	1		0.25				8			0	11.28		40.8%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.28			1.410	1.17	141.73		123.764	159.696	1		0.25				9			0	12.69		25.4%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.28			1.410	1.17	143.06		133.08	153.042	1		0.25				10			0	14.10		14.0%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.29			1.410	1.17	149.72		131.749	167.681	1		0.25				11			0	15.51		24.0%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.29			1.410	1.17	149.72		139.734	159.696	1		0.25				12			0	16.92		13.3%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.20			1.410	1.17	103.80		83.8403	123.764	1		0.25				15			0	21.14		38.5%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.27			1.410	1.17	141.06		115.779	166.35	1		0.25				5			0	7.05		35.8%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.26			1.410	1.17	135.08		118.441	151.711	1		0.25				6			0	8.46		24.6%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.27			1.410	1.17	141.06		118.441	163.688	1		0.25				7			0	9.87		32.1%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.28			1.410	1.17	144.39		130.418	158.365	1		0.25				8			0	11.28		19.4%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.27			1.410	1.17	139.73		115.779	163.688	1		0.25				9			0	12.69		34.3%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.29			1.410	1.17	151.71		126.426	176.996	1		0.25				10			0	14.10		33.3%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.29			1.410	1.17	147.05		126.426	167.681	1		0.25				11			0	15.51		28.1%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.23			1.410	1.17	119.77		107.795	131.749	1		0.25				12			0	16.92		20.0%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.26			1.410	1.17	136.41		105.133	167.681	1		0.25				13			0	18.33		45.9%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.35			1.410	1.17	178.99		151.711	206.274	1		0.25				14			0	19.73		30.5%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.30			1.410	1.17	156.37		145.057	167.681	1		0.25				15			0	21.14		14.5%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.28			1.410	1.17	143.73		130.418	157.034	1		0.25				16			0	22.55		18.5%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.32			1.410	1.17	166.35		147.719	184.981	1		0.25				17			0	23.96		22.4%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.32			1.410	1.17	165.68		155.703	175.665	1		0.25				18			0	25.37		12.0%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.79			1.410	1.17	406.56		383.27	429.848	1		0.25				11			0	15.51		11.5%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.85			1.410	1.17	435.84		400.57	471.103	1		0.25				12			0	16.92		16.2%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.84			1.410	1.17	431.18		392.586	469.772	1		0.25				13			0	18.33		17.9%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	1.03			1.410	1.17	532.32		481.749	582.89	1		0.25				14			0	19.73		19.0%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.95			1.410	1.17	487.74		449.81	525.665	1		0.25				15			0	21.14		15.6%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
