-0.95861E+00 -0.36514E+01  0.20795E+01  0.28090E-03  0.22314E-03  0.11000E+00
-0.94885E+00 -0.36316E+01  0.20810E+01  0.29421E-03  0.23355E-03  0.11250E+00
-0.93930E+00 -0.36122E+01  0.20824E+01  0.30786E-03  0.24421E-03  0.11500E+00
-0.92996E+00 -0.35933E+01  0.20839E+01  0.32183E-03  0.25512E-03  0.11750E+00
-0.92082E+00 -0.35747E+01  0.20853E+01  0.33615E-03  0.26628E-03  0.12000E+00
-0.91186E+00 -0.35564E+01  0.20867E+01  0.35080E-03  0.27770E-03  0.12250E+00
-0.90309E+00 -0.35385E+01  0.20881E+01  0.36579E-03  0.28938E-03  0.12500E+00
-0.89449E+00 -0.35210E+01  0.20894E+01  0.38112E-03  0.30131E-03  0.12750E+00
-0.88606E+00 -0.35038E+01  0.20908E+01  0.39679E-03  0.31350E-03  0.13000E+00
-0.87778E+00 -0.34869E+01  0.20921E+01  0.41281E-03  0.32594E-03  0.13250E+00
-0.86967E+00 -0.34703E+01  0.20934E+01  0.42917E-03  0.33864E-03  0.13500E+00
-0.86170E+00 -0.34539E+01  0.20947E+01  0.44587E-03  0.35161E-03  0.13750E+00
-0.85387E+00 -0.34379E+01  0.20960E+01  0.46293E-03  0.36483E-03  0.14000E+00
-0.84619E+00 -0.34221E+01  0.20973E+01  0.48033E-03  0.37832E-03  0.14250E+00
-0.83863E+00 -0.34066E+01  0.20986E+01  0.49809E-03  0.39206E-03  0.14500E+00
-0.83121E+00 -0.33914E+01  0.20998E+01  0.51619E-03  0.40607E-03  0.14750E+00
-0.82391E+00 -0.33764E+01  0.21011E+01  0.53465E-03  0.42035E-03  0.15000E+00
-0.81673E+00 -0.33616E+01  0.21023E+01  0.55346E-03  0.43488E-03  0.15250E+00
-0.80967E+00 -0.33471E+01  0.21035E+01  0.57262E-03  0.44968E-03  0.15500E+00
-0.80272E+00 -0.33328E+01  0.21047E+01  0.59214E-03  0.46474E-03  0.15750E+00
-0.79588E+00 -0.33187E+01  0.21059E+01  0.61202E-03  0.48007E-03  0.16000E+00
-0.78915E+00 -0.33048E+01  0.21071E+01  0.63225E-03  0.49566E-03  0.16250E+00
-0.78252E+00 -0.32911E+01  0.21082E+01  0.65283E-03  0.51152E-03  0.16500E+00
-0.77599E+00 -0.32777E+01  0.21094E+01  0.67377E-03  0.52764E-03  0.16750E+00
-0.76955E+00 -0.32644E+01  0.21105E+01  0.69507E-03  0.54403E-03  0.17000E+00
-0.76321E+00 -0.32513E+01  0.21116E+01  0.71673E-03  0.56068E-03  0.17250E+00
-0.75696E+00 -0.32384E+01  0.21127E+01  0.73874E-03  0.57759E-03  0.17500E+00
-0.75080E+00 -0.32257E+01  0.21138E+01  0.76110E-03  0.59477E-03  0.17750E+00
-0.74473E+00 -0.32131E+01  0.21149E+01  0.78382E-03  0.61221E-03  0.18000E+00
-0.73874E+00 -0.32007E+01  0.21160E+01  0.80690E-03  0.62991E-03  0.18250E+00
-0.73283E+00 -0.31885E+01  0.21171E+01  0.83033E-03  0.64787E-03  0.18500E+00
-0.72700E+00 -0.31765E+01  0.21182E+01  0.85411E-03  0.66609E-03  0.18750E+00
-0.72125E+00 -0.31646E+01  0.21192E+01  0.87824E-03  0.68457E-03  0.19000E+00
-0.71557E+00 -0.31529E+01  0.21203E+01  0.90272E-03  0.70330E-03  0.19250E+00
-0.70997E+00 -0.31413E+01  0.21213E+01  0.92755E-03  0.72230E-03  0.19500E+00
-0.70443E+00 -0.31299E+01  0.21223E+01  0.95272E-03  0.74154E-03  0.19750E+00
-0.69897E+00 -0.31186E+01  0.21233E+01  0.97824E-03  0.76104E-03  0.20000E+00
-0.69357E+00 -0.31075E+01  0.21244E+01  0.10041E-02  0.78078E-03  0.20250E+00
-0.68825E+00 -0.30965E+01  0.21254E+01  0.10303E-02  0.80077E-03  0.20500E+00
-0.68298E+00 -0.30857E+01  0.21264E+01  0.10568E-02  0.82101E-03  0.20750E+00
-0.67778E+00 -0.30750E+01  0.21274E+01  0.10837E-02  0.84149E-03  0.21000E+00
-0.67264E+00 -0.30644E+01  0.21283E+01  0.11109E-02  0.86220E-03  0.21250E+00
-0.66756E+00 -0.30540E+01  0.21293E+01  0.11384E-02  0.88315E-03  0.21500E+00
-0.66254E+00 -0.30437E+01  0.21303E+01  0.11663E-02  0.90434E-03  0.21750E+00
-0.65758E+00 -0.30335E+01  0.21313E+01  0.11944E-02  0.92574E-03  0.22000E+00
-0.65267E+00 -0.30235E+01  0.21323E+01  0.12229E-02  0.94738E-03  0.22250E+00
-0.64782E+00 -0.30136E+01  0.21332E+01  0.12517E-02  0.96923E-03  0.22500E+00
-0.64302E+00 -0.30038E+01  0.21342E+01  0.12807E-02  0.99129E-03  0.22750E+00
-0.63827E+00 -0.29941E+01  0.21352E+01  0.13101E-02  0.10136E-02  0.23000E+00
-0.63358E+00 -0.29846E+01  0.21361E+01  0.13398E-02  0.10360E-02  0.23250E+00
-0.62893E+00 -0.29752E+01  0.21371E+01  0.13697E-02  0.10587E-02  0.23500E+00
-0.62434E+00 -0.29659E+01  0.21381E+01  0.13999E-02  0.10816E-02  0.23750E+00
-0.61979E+00 -0.29568E+01  0.21390E+01  0.14304E-02  0.11046E-02  0.24000E+00
-0.61529E+00 -0.29478E+01  0.21400E+01  0.14611E-02  0.11278E-02  0.24250E+00
-0.61083E+00 -0.29388E+01  0.21410E+01  0.14921E-02  0.11512E-02  0.24500E+00
-0.60642E+00 -0.29300E+01  0.21419E+01  0.15233E-02  0.11748E-02  0.24750E+00
-0.60206E+00 -0.29214E+01  0.21429E+01  0.15548E-02  0.11985E-02  0.25000E+00
-0.59774E+00 -0.29128E+01  0.21439E+01  0.15864E-02  0.12224E-02  0.25250E+00
-0.59346E+00 -0.29044E+01  0.21449E+01  0.16183E-02  0.12463E-02  0.25500E+00
-0.58922E+00 -0.28960E+01  0.21458E+01  0.16504E-02  0.12705E-02  0.25750E+00
-0.58503E+00 -0.28878E+01  0.21468E+01  0.16826E-02  0.12947E-02  0.26000E+00
-0.58087E+00 -0.28797E+01  0.21478E+01  0.17150E-02  0.13190E-02  0.26250E+00
-0.57675E+00 -0.28718E+01  0.21488E+01  0.17476E-02  0.13434E-02  0.26500E+00
-0.57268E+00 -0.28639E+01  0.21499E+01  0.17803E-02  0.13679E-02  0.26750E+00
-0.56864E+00 -0.28562E+01  0.21509E+01  0.18132E-02  0.13925E-02  0.27000E+00
-0.56463E+00 -0.28486E+01  0.21519E+01  0.18461E-02  0.14171E-02  0.27250E+00
-0.56067E+00 -0.28411E+01  0.21530E+01  0.18792E-02  0.14418E-02  0.27500E+00
-0.55674E+00 -0.28337E+01  0.21540E+01  0.19123E-02  0.14665E-02  0.27750E+00
-0.55284E+00 -0.28265E+01  0.21551E+01  0.19454E-02  0.14912E-02  0.28000E+00
-0.54898E+00 -0.28193E+01  0.21562E+01  0.19786E-02  0.15159E-02  0.28250E+00
-0.54516E+00 -0.28123E+01  0.21573E+01  0.20119E-02  0.15405E-02  0.28500E+00
-0.54136E+00 -0.28054E+01  0.21584E+01  0.20451E-02  0.15651E-02  0.28750E+00
-0.53760E+00 -0.27987E+01  0.21596E+01  0.20782E-02  0.15897E-02  0.29000E+00
-0.53387E+00 -0.27921E+01  0.21607E+01  0.21114E-02  0.16141E-02  0.29250E+00
-0.53018E+00 -0.27856E+01  0.21619E+01  0.21444E-02  0.16385E-02  0.29500E+00
-0.52651E+00 -0.27792E+01  0.21631E+01  0.21773E-02  0.16627E-02  0.29750E+00
