# Database of dielectric index for different materials for plasmonic applications						Make tables for these combinations							
# 1	2	3	4	5	6	7	8	9	10	11	12	13	14
# Material	Bandgap(eV)/EF	wavelength	Real(eps)	Imag(eps)	MainProperty	SPPdecayDeptAir	SPPdecayLength	Lifetime	AtomicMass(uma)	MeltingTemperature	BoilingTemperature	CriticalPoint[VE_Fortov_ThePhysicsOfNon-idealPlasma]	HeatConductivity300K(W/m/K)
# GaP (Aspnes 1983)	2.26	800	10.201	0	?	?	?	?	100.696761	?	?	?	?
# GaP (Aspnes 1983)	2.26	400	17.524	2.3041	?	?	?	?	100.696761	?	?	?	?
#GaInP	0?	800	11.055	0	?	?	?	?	215.514761	?	?	?	?
#GaInP	0?	400	19.898	8.3385          ?               ?	?               ?	215.514761				?	?	?	?
Ge (Palik)	0.67	1030	18.9863209355	1.1107361729	?	?	?	?	?	?	?	?	?
Ge (Palik)	0.67	800	21.9612395515	3.0143720542	?	?	?	?	72.64	?	?	?	?
Ge (Palik)	0.67	515	15.0288705695	22.473032106	?	?	?	?	?	?	?	?	?
Ge (Palik)	0.67	400	12.2411976084	18.3399120783	?	?	?	?	72.64	?	?	?	?
# Ge (Aspnes 1983)	0.67	800	22.0765	3.0347	?	?	?	?	72.64	?	?	?	?
# Ge (Aspnes 1983)	0.67	400	12.2406	18.3387	?	?	?	?	72.64	?	?	?	?
#Graphite (Djurisic 1999, o)	1000	800	6.0825	10.673	?	?	?	?	?	?	?	?	?
Graphite (Palik, o)	1000	800	5.950607352	11.5750444	?	?	?	?	?	?	?	?	?
Graphite (Palik, o)	1000	400	5.2003	6.7596	?	?	?	?	?	?	?	?	?
#Graphite (Djurisic 1999, o)	1000	400	5.5286	6.4867	?	?	?	?	12.0107	?	?	?	?
Graphite (Djurisic 1999, e)	1000	400	2.3475	0.053571	?	?	?	?	12.0107	?	?	?	?
# Graphene	0?	800	5.8342	8.9076	?	?	?	?	12.0107	?	?	?	?
# Graphene	0?	400	6.0921	6.1229	?	?	?	?	12.0107	?	?	?	?
H2O (Palik)	6.5	1030	1.74608259	5.40E-006	?	?	?	?	?	?	?	?	?
H2O (Palik)	6.5	800	1.75837	3.32E-007	Temperature	?	?	?	18.01528	?	?	?	?
H2O (Palik)	6.5	515	1.791308291	3.63E-009	?	?	?	?	?	?	?	?	?
H2O (Palik)	6.5	400	1.822496	4.27E-009	Temperature	?	?	?	18.01528	?	?	?	?
# H2O (Hale 1973)	6.5	800	1.7662	3.32E-007	Temperature	?	?	?	18.01528	?	?	?	?
# H2O (Hale 1973)	6.5	400	1.7929	0.000000005	Temperature	?	?	?	18.01528	?	?	?	?
InP (Palik)	?	1030	10.8824507233	0	?	?	?	?	?	?	?	?	?
InP (Palik)	?	800	11.9296534741	1.4568728233	?	?	?	?	?	?	?	?	?
InP (Palik)	?	515	13.8516323738	3.4585610174	?	?	?	?	?	?	?	?	?
InP (Palik)	?	400	16.4924734829	15.2972245332	?	?	?	?	?	?	?	?	?
InP (Bonse 2005)	1.35	800	12.21	1.4	?	?	?	?	145.791761	?	?	?	?
#InP (Palik)	1.35	800	11.9296534741	1.4568728233	?	?	?	?	145.791761	?	?	?	?
InP (Palik)	1.35	400	16.4924734829	15.2972245332	?	?	?	?	145.791761	?	?	?	?
# InP (Aspnes 1983)	1.35	800	11.939	1.4589	?	?	?	?	145.791761	?	?	?	?
# InP (Aspnes 1983)	1.35	400	16.493	15.287	?	?	?	?	145.791761	?	?	?	?
Li (Palik)	-4.74	1030	-23.6568761572	3.7548818932	?	?	?	?	?	?	?	?	?
Li (Palik)	-4.74	800	-14.2502482297	2.167363275	?	?	?	?	6.941	?	?	?	?
Li (Palik)	-4.74	515	-5.1279096992	0.9648574142	?	?	?	?	?	?	?	?	?
Li (Palik)	-4.74	400	-2.5830004795	0.9646702413	?	?	?	?	6.941	?	?	?	?
# Li (Rasigni 1977)	-4.74	800	-14.196	2.1632	?	?	?	?	6.941	?	?	?	?
# Li (Rasigni 1977)	-4.74	400	-2.5823	0.96795	?	?	?	?	6.941	?	?	?	?
#Mo (Ordal 1988)	-10	1030	-11.728	20.297	?	?	?	?	?	2887	5442	16140	137
Mo (Palik)	-10	1064	-14.0830652336	20.7890417643	?	?	?	?	?	2887	5442	16140	137
Mo (Palik)	-10	1030	-11.6291789477	20.6107572133	?	?	?	?	?	2887	5442	16140	137
Mo (Palik)	-10	800	2.0803009734	24.5243998446	?	?	?	?	?	2887	5442	16140	137
Mo (Palik)	-10	532	0.4727333193	27.3083770712	?	?	?	?	?	2887	5442	16140	137
Mo (Palik)	?	515	-1.4975598355	26.9798217639	?	?	?	?	?	2887	5442	16140	137
Mo (Palik)	-10	400	-1.1887745095	19.5149912779	?	?	?	?	?	2887	5442	16140	137
Mg (Hagemann 1974)	-7.08	1030	-103.42	38.809	?	?	?	?	24.305	?	?	?	?
Mg (Hagemann 1974)	-7.08	800	-58.35	11.333	?	?	?	?	24.305	?	?	?	?
Mg (Hagemann 1974)	-7.08	400	-12.411	1.2508	?	?	?	?	24.305	?	?	?	?
Na (Palik)	?	1030	-19.7705635906	0.585077691	?	?	?	?	?	?	?	?	?
Na (Palik)	-1000	800	-11.843264425	0.353338855	?	?	?	?	22.98977	?	?	?	?
Na (Palik)	?	515	-4.4302140679	0.2615599698	?	?	?	?	?	?	?	?	?
Na (Palik)	-1000	400	-2.3046134546	0.2061651025	?	?	?	?	22.98977	?	?	?	?
# Na (Inagaki 1976)	-1000	800	-12.356	0.30588	?	?	?	?	22.98977	?	?	?	?
# Na (Inagaki 1976)	-1000	400	-2.2437	0.2382	?	?	?	?	22.98977	?	?	?	?
#Nb (Golovashkin 1969)	-1000	1030	-24.401	16.821	?	?	?	?	?	?	?	?	?
Nb (Palik)	?	1030	-21.1709802731	15.6507921827	?	?	?	?	?	?	?	?	?
Nb (Palik)	-1000	800	-6.7412975495	14.490964244	?	?	?	?	?	?	?	?	?
Nb (Palik)	?	515	0.0625884485	16.7860890146	?	?	?	?	?	?	?	?	?
Nb (Palik)	-1000	400	-0.610902861	12.8986952836	?	?	?	?	?	?	?	?	?
