 variables=E2,E1,W12 
i= zone 101
0.14000000E+01 0.00000000E+00 0.75119761E-02
0.14200000E+01 0.00000000E+00 0.74358137E-02
0.14400000E+01 0.00000000E+00 0.73135106E-02
0.14600000E+01 0.00000000E+00 0.71432244E-02
0.14800000E+01 0.00000000E+00 0.69242140E-02
0.15000000E+01 0.00000000E+00 0.66573249E-02
0.15200000E+01 0.00000000E+00 0.63456824E-02
0.15400000E+01 0.00000000E+00 0.59957258E-02
0.15600000E+01 0.00000000E+00 0.56188500E-02
0.15800000E+01 0.00000000E+00 0.52342885E-02
0.16000000E+01 0.00000000E+00 0.48750825E-02
0.16200000E+01 0.00000000E+00 0.46052751E-02
0.16400000E+01 0.00000000E+00 0.46247938E-02
0.16600000E+01 0.00000000E+00 0.47968231E-02
0.16800000E+01 0.00000000E+00 0.49732820E-02
0.17000000E+01 0.00000000E+00 0.51539787E-02
0.17200000E+01 0.00000000E+00 0.53386838E-02
0.17400000E+01 0.00000000E+00 0.55271290E-02
0.17600000E+01 0.00000000E+00 0.57190056E-02
0.17800000E+01 0.00000000E+00 0.59139637E-02
0.18000000E+01 0.00000000E+00 0.61116114E-02
0.18200000E+01 0.00000000E+00 0.63115141E-02
0.18400000E+01 0.00000000E+00 0.65131947E-02
0.18600000E+01 0.00000000E+00 0.67161336E-02
0.18800000E+01 0.00000000E+00 0.69197691E-02
0.19000000E+01 0.00000000E+00 0.71234989E-02
0.19200000E+01 0.00000000E+00 0.73266814E-02
0.19400000E+01 0.00000000E+00 0.75286380E-02
0.19600000E+01 0.00000000E+00 0.77286558E-02
0.19800000E+01 0.00000000E+00 0.79259914E-02
0.20000000E+01 0.00000000E+00 0.81198749E-02
0.00000000E+00 0.20000000E-01 0.21431186E-08
0.20000000E-01 0.20000000E-01 0.78258429E-05
0.39999999E-01 0.20000000E-01 0.28763132E-04
0.59999999E-01 0.20000000E-01 0.62824429E-04
0.79999998E-01 0.20000000E-01 0.11017859E-03
0.99999998E-01 0.20000000E-01 0.17109854E-03
0.12000000E+00 0.20000000E-01 0.24589596E-03
0.14000000E+00 0.20000000E-01 0.33484228E-03
0.16000000E+00 0.20000000E-01 0.43807218E-03
0.18000000E+00 0.20000000E-01 0.55546381E-03
0.20000000E+00 0.20000000E-01 0.68648697E-03
0.22000000E+00 0.20000000E-01 0.83000542E-03
0.23999999E+00 0.20000000E-01 0.98401040E-03
0.25999999E+00 0.20000000E-01 0.11452460E-02
0.27999999E+00 0.20000000E-01 0.13086525E-02
0.29999999E+00 0.20000000E-01 0.14664802E-02
0.31999999E+00 0.20000000E-01 0.16067401E-02
0.33999999E+00 0.20000000E-01 0.17101209E-02
0.35999999E+00 0.20000000E-01 0.17425304E-02
0.37999999E+00 0.20000000E-01 0.16296537E-02
0.39999999E+00 0.20000000E-01 0.99871077E-03
0.41999999E+00 0.20000000E-01 0.76385264E-03
0.43999999E+00 0.20000000E-01 0.84802655E-03
0.45999999E+00 0.20000000E-01 0.93702398E-03
0.47999999E+00 0.20000000E-01 0.10308518E-02
0.49999999E+00 0.20000000E-01 0.11294958E-02
0.51999999E+00 0.20000000E-01 0.12329158E-02
0.53999999E+00 0.20000000E-01 0.13410401E-02
0.55999999E+00 0.20000000E-01 0.14537596E-02
0.57999999E+00 0.20000000E-01 0.15709214E-02
0.59999999E+00 0.20000000E-01 0.16923220E-02
0.61999999E+00 0.20000000E-01 0.18176997E-02
0.63999999E+00 0.20000000E-01 0.19467274E-02
0.65999999E+00 0.20000000E-01 0.20790043E-02
0.67999998E+00 0.20000000E-01 0.22140478E-02
0.69999998E+00 0.20000000E-01 0.23512852E-02
0.71999998E+00 0.20000000E-01 0.24900447E-02
0.73999998E+00 0.20000000E-01 0.26295474E-02
0.75999998E+00 0.20000000E-01 0.27688975E-02
0.77999998E+00 0.20000000E-01 0.29070733E-02
0.79999998E+00 0.20000000E-01 0.30429166E-02
0.81999998E+00 0.20000000E-01 0.31751196E-02
0.83999998E+00 0.20000000E-01 0.33022082E-02
0.85999998E+00 0.20000000E-01 0.34225140E-02
0.87999998E+00 0.20000000E-01 0.35341273E-02
0.89999998E+00 0.20000000E-01 0.36348042E-02
0.91999998E+00 0.20000000E-01 0.37217697E-02
0.93999998E+00 0.20000000E-01 0.37912487E-02
0.95999998E+00 0.20000000E-01 0.38371727E-02
0.97999998E+00 0.20000000E-01 0.38465088E-02
0.99999998E+00 0.20000000E-01 0.37664287E-02
0.10200000E+01 0.20000000E-01 0.36900944E-02
0.10400000E+01 0.20000000E-01 0.38771069E-02
0.10600000E+01 0.20000000E-01 0.40674284E-02
0.10800000E+01 0.20000000E-01 0.42603169E-02
0.11000000E+01 0.20000000E-01 0.44549143E-02
0.11200000E+01 0.20000000E-01 0.46502412E-02
0.11400000E+01 0.20000000E-01 0.48451913E-02
0.11600000E+01 0.20000000E-01 0.50385274E-02
0.11800000E+01 0.20000000E-01 0.52288788E-02
0.12000000E+01 0.20000000E-01 0.54147407E-02
0.12200000E+01 0.20000000E-01 0.55944752E-02
0.12400000E+01 0.20000000E-01 0.57663157E-02
0.12600000E+01 0.20000000E-01 0.59283750E-02
0.12800000E+01 0.20000000E-01 0.60786580E-02
0.13000000E+01 0.20000000E-01 0.62150798E-02
0.13200000E+01 0.20000000E-01 0.63354920E-02
0.13400000E+01 0.20000000E-01 0.64377177E-02
0.13600000E+01 0.20000000E-01 0.65195989E-02
0.13800000E+01 0.20000000E-01 0.65790599E-02
0.14000000E+01 0.20000000E-01 0.66141905E-02
0.14200000E+01 0.20000000E-01 0.66233576E-02
0.14400000E+01 0.20000000E-01 0.66053533E-02
0.14600000E+01 0.20000000E-01 0.65595970E-02
0.14800000E+01 0.20000000E-01 0.64864131E-02
0.15000000E+01 0.20000000E-01 0.63874284E-02
0.15200000E+01 0.20000000E-01 0.62661613E-02
0.15400000E+01 0.20000000E-01 0.61289592E-02
0.15600000E+01 0.20000000E-01 0.59866411E-02
0.15800000E+01 0.20000000E-01 0.58579014E-02
0.16000000E+01 0.20000000E-01 0.57791248E-02
0.16200000E+01 0.20000000E-01 0.58644736E-02
0.16400000E+01 0.20000000E-01 0.60348950E-02
0.16600000E+01 0.20000000E-01 0.62045218E-02
0.16800000E+01 0.20000000E-01 0.63728878E-02
0.17000000E+01 0.20000000E-01 0.65395202E-02
0.17200000E+01 0.20000000E-01 0.67039449E-02
0.17400000E+01 0.20000000E-01 0.68656924E-02
0.17600000E+01 0.20000000E-01 0.70243041E-02
0.17800000E+01 0.20000000E-01 0.71793395E-02
0.18000000E+01 0.20000000E-01 0.73303832E-02
0.18200000E+01 0.20000000E-01 0.74770528E-02
0.18400000E+01 0.20000000E-01 0.76190062E-02
0.18600000E+01 0.20000000E-01 0.77559495E-02
0.18800000E+01 0.20000000E-01 0.78876426E-02
0.19000000E+01 0.20000000E-01 0.80139054E-02
0.19200000E+01 0.20000000E-01 0.81346199E-02
0.19400000E+01 0.20000000E-01 0.82497296E-02
0.19600000E+01 0.20000000E-01 0.83592336E-02
0.19800000E+01 0.20000000E-01 0.84631723E-02
0.20000000E+01 0.20000000E-01 0.85616020E-02
0.00000000E+00 0.39999999E-01 0.31947223E-07
0.20000000E-01 0.39999999E-01 0.10622294E-04
0.39999999E-01 0.39999999E-01 0.32846234E-04
0.59999999E-01 0.39999999E-01 0.66720435E-04
0.79999998E-01 0.39999999E-01 0.11233807E-03
0.99999998E-01 0.39999999E-01 0.16982599E-03
0.12000000E+00 0.39999999E-01 0.23929257E-03
0.14000000E+00 0.39999999E-01 0.32076335E-03
0.16000000E+00 0.39999999E-01 0.41410061E-03
0.18000000E+00 0.39999999E-01 0.51890078E-03
0.20000000E+00 0.39999999E-01 0.63436036E-03
0.22000000E+00 0.39999999E-01 0.75909482E-03
0.23999999E+00 0.39999999E-01 0.89088387E-03
0.25999999E+00 0.39999999E-01 0.10262935E-02
0.27999999E+00 0.39999999E-01 0.11600747E-02
0.29999999E+00 0.39999999E-01 0.12841137E-02
0.31999999E+00 0.39999999E-01 0.13853456E-02
0.33999999E+00 0.39999999E-01 0.14407056E-02
0.35999999E+00 0.39999999E-01 0.13999034E-02
0.37999999E+00 0.39999999E-01 0.10104234E-02
0.39999999E+00 0.39999999E-01 0.89255747E-03
0.41999999E+00 0.39999999E-01 0.99363972E-03
0.43999999E+00 0.39999999E-01 0.11005661E-02
0.45999999E+00 0.39999999E-01 0.12132651E-02
0.47999999E+00 0.39999999E-01 0.13316186E-02
0.49999999E+00 0.39999999E-01 0.14554539E-02
0.51999999E+00 0.39999999E-01 0.15845365E-02
0.53999999E+00 0.39999999E-01 0.17185615E-02
0.55999999E+00 0.39999999E-01 0.18571447E-02
0.57999999E+00 0.39999999E-01 0.19998134E-02
0.59999999E+00 0.39999999E-01 0.21459966E-02
0.61999999E+00 0.39999999E-01 0.22950145E-02
0.63999999E+00 0.39999999E-01 0.24460685E-02
0.65999999E+00 0.39999999E-01 0.25982293E-02
0.67999998E+00 0.39999999E-01 0.27504261E-02
0.69999998E+00 0.39999999E-01 0.29014343E-02
0.71999998E+00 0.39999999E-01 0.30498628E-02
0.73999998E+00 0.39999999E-01 0.31941398E-02
0.75999998E+00 0.39999999E-01 0.33324978E-02
0.77999998E+00 0.39999999E-01 0.34629536E-02
0.79999998E+00 0.39999999E-01 0.35832841E-02
0.81999998E+00 0.39999999E-01 0.36909894E-02
0.83999998E+00 0.39999999E-01 0.37832348E-02
0.85999998E+00 0.39999999E-01 0.38567505E-02
0.87999998E+00 0.39999999E-01 0.39076411E-02
0.89999998E+00 0.39999999E-01 0.39309938E-02
0.91999998E+00 0.39999999E-01 0.39199786E-02
0.93999998E+00 0.39999999E-01 0.38634298E-02
0.95999998E+00 0.39999999E-01 0.37373192E-02
0.97999998E+00 0.39999999E-01 0.34459821E-02
0.99999998E+00 0.39999999E-01 0.31452393E-02
0.10200000E+01 0.39999999E-01 0.33016151E-02
0.10400000E+01 0.39999999E-01 0.34609864E-02
0.10600000E+01 0.39999999E-01 0.36229068E-02
0.10800000E+01 0.39999999E-01 0.37868649E-02
0.11000000E+01 0.39999999E-01 0.39522819E-02
0.11200000E+01 0.39999999E-01 0.41185109E-02
0.11400000E+01 0.39999999E-01 0.42848359E-02
0.11600000E+01 0.39999999E-01 0.44504724E-02
0.11800000E+01 0.39999999E-01 0.46145693E-02
0.12000000E+01 0.39999999E-01 0.47762122E-02
0.12200000E+01 0.39999999E-01 0.49344285E-02
0.12400000E+01 0.39999999E-01 0.50881947E-02
0.12600000E+01 0.39999999E-01 0.52364464E-02
0.12800000E+01 0.39999999E-01 0.53780919E-02
0.13000000E+01 0.39999999E-01 0.55120289E-02
0.13200000E+01 0.39999999E-01 0.56371672E-02
0.13400000E+01 0.39999999E-01 0.57524566E-02
0.13600000E+01 0.39999999E-01 0.58569225E-02
0.13800000E+01 0.39999999E-01 0.59497121E-02
0.14000000E+01 0.39999999E-01 0.60301525E-02
0.14200000E+01 0.39999999E-01 0.60978262E-02
0.14400000E+01 0.39999999E-01 0.61526712E-02
0.14600000E+01 0.39999999E-01 0.61951150E-02
0.14800000E+01 0.39999999E-01 0.62262631E-02
0.15000000E+01 0.39999999E-01 0.62481744E-02
0.15200000E+01 0.39999999E-01 0.62642971E-02
0.15400000E+01 0.39999999E-01 0.62802325E-02
0.15600000E+01 0.39999999E-01 0.63053315E-02
0.15800000E+01 0.39999999E-01 0.63573597E-02
0.16000000E+01 0.39999999E-01 0.64917800E-02
0.16200000E+01 0.39999999E-01 0.66679180E-02
0.16400000E+01 0.39999999E-01 0.68417003E-02
0.16600000E+01 0.39999999E-01 0.70125512E-02
0.16800000E+01 0.39999999E-01 0.71798882E-02
0.17000000E+01 0.39999999E-01 0.73431276E-02
0.17200000E+01 0.39999999E-01 0.75016907E-02
0.17400000E+01 0.39999999E-01 0.76550103E-02
0.17600000E+01 0.39999999E-01 0.78025376E-02
0.17800000E+01 0.39999999E-01 0.79437496E-02
0.18000000E+01 0.39999999E-01 0.80781563E-02
0.18200000E+01 0.39999999E-01 0.82053077E-02
0.18400000E+01 0.39999999E-01 0.83248001E-02
0.18600000E+01 0.39999999E-01 0.84362812E-02
0.18800000E+01 0.39999999E-01 0.85394528E-02
0.19000000E+01 0.39999999E-01 0.86340706E-02
0.19200000E+01 0.39999999E-01 0.87199389E-02
0.19400000E+01 0.39999999E-01 0.87968981E-02
0.19600000E+01 0.39999999E-01 0.88648018E-02
0.19800000E+01 0.39999999E-01 0.89234783E-02
0.20000000E+01 0.39999999E-01 0.89726689E-02
0.00000000E+00 0.59999999E-01 0.14977765E-06
0.20000000E-01 0.59999999E-01 0.15557335E-04
0.39999999E-01 0.59999999E-01 0.41075286E-04
0.59999999E-01 0.59999999E-01 0.76688831E-04
0.79999998E-01 0.59999999E-01 0.12239525E-03
0.99999998E-01 0.59999999E-01 0.17817140E-03
0.12000000E+00 0.59999999E-01 0.24393354E-03
0.14000000E+00 0.59999999E-01 0.31948704E-03
0.16000000E+00 0.59999999E-01 0.40446206E-03
0.18000000E+00 0.59999999E-01 0.49822941E-03
0.20000000E+00 0.59999999E-01 0.59978695E-03
0.22000000E+00 0.59999999E-01 0.70759977E-03
0.23999999E+00 0.59999999E-01 0.81936310E-03
0.25999999E+00 0.59999999E-01 0.93162499E-03
0.27999999E+00 0.59999999E-01 0.10391259E-02
0.29999999E+00 0.59999999E-01 0.11334808E-02
0.31999999E+00 0.59999999E-01 0.11999724E-02
0.33999999E+00 0.59999999E-01 0.12065398E-02
0.35999999E+00 0.59999999E-01 0.99099707E-03
0.37999999E+00 0.59999999E-01 0.95758472E-03
0.39999999E+00 0.59999999E-01 0.10687435E-02
0.41999999E+00 0.59999999E-01 0.11862781E-02
0.43999999E+00 0.59999999E-01 0.13100640E-02
0.45999999E+00 0.59999999E-01 0.14399196E-02
0.47999999E+00 0.59999999E-01 0.15755985E-02
0.49999999E+00 0.59999999E-01 0.17167808E-02
0.51999999E+00 0.59999999E-01 0.18630645E-02
0.53999999E+00 0.59999999E-01 0.20139552E-02
0.55999999E+00 0.59999999E-01 0.21688567E-02
0.57999999E+00 0.59999999E-01 0.23270596E-02
0.59999999E+00 0.59999999E-01 0.24877303E-02
0.61999999E+00 0.59999999E-01 0.26498989E-02
0.63999999E+00 0.59999999E-01 0.28124461E-02
0.65999999E+00 0.59999999E-01 0.29740896E-02
0.67999998E+00 0.59999999E-01 0.31333688E-02
0.69999998E+00 0.59999999E-01 0.32886280E-02
0.71999998E+00 0.59999999E-01 0.34379965E-02
0.73999998E+00 0.59999999E-01 0.35793649E-02
0.75999998E+00 0.59999999E-01 0.37103551E-02
0.77999998E+00 0.59999999E-01 0.38282781E-02
0.79999998E+00 0.59999999E-01 0.39300740E-02
0.81999998E+00 0.59999999E-01 0.40122162E-02
0.83999998E+00 0.59999999E-01 0.40705501E-02
0.85999998E+00 0.59999999E-01 0.41000005E-02
0.87999998E+00 0.59999999E-01 0.40939884E-02
0.89999998E+00 0.59999999E-01 0.40431383E-02
0.91999998E+00 0.59999999E-01 0.39318981E-02
0.93999998E+00 0.59999999E-01 0.37268941E-02
0.95999998E+00 0.59999999E-01 0.32982134E-02
0.97999998E+00 0.59999999E-01 0.28398246E-02
0.99999998E+00 0.59999999E-01 0.29779291E-02
0.10200000E+01 0.59999999E-01 0.31183564E-02
0.10400000E+01 0.59999999E-01 0.32607717E-02
0.10600000E+01 0.59999999E-01 0.34048065E-02
0.10800000E+01 0.59999999E-01 0.35500609E-02
0.11000000E+01 0.59999999E-01 0.36961052E-02
0.11200000E+01 0.59999999E-01 0.38424840E-02
0.11400000E+01 0.59999999E-01 0.39887197E-02
0.11600000E+01 0.59999999E-01 0.41343183E-02
0.11800000E+01 0.59999999E-01 0.42787759E-02
0.12000000E+01 0.59999999E-01 0.44215865E-02
0.12200000E+01 0.59999999E-01 0.45622516E-02
0.12400000E+01 0.59999999E-01 0.47002911E-02
0.12600000E+01 0.59999999E-01 0.48352563E-02
0.12800000E+01 0.59999999E-01 0.49667446E-02
0.13000000E+01 0.59999999E-01 0.50944163E-02
0.13200000E+01 0.59999999E-01 0.52180138E-02
0.13400000E+01 0.59999999E-01 0.53373835E-02
0.13600000E+01 0.59999999E-01 0.54524999E-02
0.13800000E+01 0.59999999E-01 0.55634938E-02
0.14000000E+01 0.59999999E-01 0.56706835E-02
0.14200000E+01 0.59999999E-01 0.57746117E-02
0.14400000E+01 0.59999999E-01 0.58760892E-02
0.14600000E+01 0.59999999E-01 0.59762491E-02
0.14800000E+01 0.59999999E-01 0.60766204E-02
0.15000000E+01 0.59999999E-01 0.61792386E-02
0.15200000E+01 0.59999999E-01 0.62868420E-02
0.15400000E+01 0.59999999E-01 0.64033076E-02
0.15600000E+01 0.59999999E-01 0.65350481E-02
0.15800000E+01 0.59999999E-01 0.67009718E-02
0.16000000E+01 0.59999999E-01 0.68833340E-02
0.16200000E+01 0.59999999E-01 0.70639012E-02
0.16400000E+01 0.59999999E-01 0.72421235E-02
0.16600000E+01 0.59999999E-01 0.74174304E-02
0.16800000E+01 0.59999999E-01 0.75892330E-02
0.17000000E+01 0.59999999E-01 0.77569263E-02
0.17200000E+01 0.59999999E-01 0.79198915E-02
0.17400000E+01 0.59999999E-01 0.80774985E-02
0.17600000E+01 0.59999999E-01 0.82291075E-02
0.17800000E+01 0.59999999E-01 0.83740714E-02
0.18000000E+01 0.59999999E-01 0.85117364E-02
0.18200000E+01 0.59999999E-01 0.86414423E-02
0.18400000E+01 0.59999999E-01 0.87625211E-02
0.18600000E+01 0.59999999E-01 0.88742934E-02
0.18800000E+01 0.59999999E-01 0.89760610E-02
0.19000000E+01 0.59999999E-01 0.90670961E-02
0.19200000E+01 0.59999999E-01 0.91466226E-02
0.19400000E+01 0.59999999E-01 0.92137886E-02
0.19600000E+01 0.59999999E-01 0.92676248E-02
0.19800000E+01 0.59999999E-01 0.93069820E-02
0.20000000E+01 0.59999999E-01 0.93304356E-02
0.00000000E+00 0.79999998E-01 0.43568885E-06
0.20000000E-01 0.79999998E-01 0.22356554E-04
0.39999999E-01 0.79999998E-01 0.52764845E-04
0.59999999E-01 0.79999998E-01 0.91589094E-04
0.79999998E-01 0.79999998E-01 0.13872133E-03
0.99999998E-01 0.79999998E-01 0.19399417E-03
0.12000000E+00 0.79999998E-01 0.25715250E-03
0.14000000E+00 0.79999998E-01 0.32781774E-03
0.16000000E+00 0.79999998E-01 0.40544158E-03
0.18000000E+00 0.79999998E-01 0.48924391E-03
0.20000000E+00 0.79999998E-01 0.57812596E-03
0.22000000E+00 0.79999998E-01 0.67054146E-03
0.23999999E+00 0.79999998E-01 0.76429036E-03
0.25999999E+00 0.79999998E-01 0.85615405E-03
0.27999999E+00 0.79999998E-01 0.94115507E-03
0.29999999E+00 0.79999998E-01 0.10107207E-02
0.31999999E+00 0.79999998E-01 0.10462396E-02
0.33999999E+00 0.79999998E-01 0.95142000E-03
0.35999999E+00 0.79999998E-01 0.97676010E-03
0.37999999E+00 0.79999998E-01 0.10930642E-02
0.39999999E+00 0.79999998E-01 0.12159184E-02
0.41999999E+00 0.79999998E-01 0.13451522E-02
0.43999999E+00 0.79999998E-01 0.14805387E-02
0.45999999E+00 0.79999998E-01 0.16217871E-02
0.47999999E+00 0.79999998E-01 0.17685353E-02
0.49999999E+00 0.79999998E-01 0.19203415E-02
0.51999999E+00 0.79999998E-01 0.20766750E-02
0.53999999E+00 0.79999998E-01 0.22369071E-02
0.55999999E+00 0.79999998E-01 0.24003008E-02
0.57999999E+00 0.79999998E-01 0.25659995E-02
0.59999999E+00 0.79999998E-01 0.27330151E-02
0.61999999E+00 0.79999998E-01 0.29002145E-02
0.63999999E+00 0.79999998E-01 0.30663044E-02
0.65999999E+00 0.79999998E-01 0.32298142E-02
0.67999998E+00 0.79999998E-01 0.33890752E-02
0.69999998E+00 0.79999998E-01 0.35421955E-02
0.71999998E+00 0.79999998E-01 0.36870282E-02
0.73999998E+00 0.79999998E-01 0.38211291E-02
0.75999998E+00 0.79999998E-01 0.39416968E-02
0.77999998E+00 0.79999998E-01 0.40454864E-02
0.79999998E+00 0.79999998E-01 0.41286743E-02
0.81999998E+00 0.79999998E-01 0.41866344E-02
0.83999998E+00 0.79999998E-01 0.42135443E-02
0.85999998E+00 0.79999998E-01 0.42016247E-02
0.87999998E+00 0.79999998E-01 0.41394981E-02
0.89999998E+00 0.79999998E-01 0.40080103E-02
0.91999998E+00 0.79999998E-01 0.37661367E-02
0.93999998E+00 0.79999998E-01 0.32575074E-02
0.95999998E+00 0.79999998E-01 0.26953985E-02
0.97999998E+00 0.79999998E-01 0.28245195E-02
0.99999998E+00 0.79999998E-01 0.29552707E-02
0.10200000E+01 0.79999998E-01 0.30873169E-02
0.10400000E+01 0.79999998E-01 0.32203053E-02
0.10600000E+01 0.79999998E-01 0.33538703E-02
0.10800000E+01 0.79999998E-01 0.34876388E-02
0.11000000E+01 0.79999998E-01 0.36212366E-02
0.11200000E+01 0.79999998E-01 0.37542958E-02
0.11400000E+01 0.79999998E-01 0.38864633E-02
0.11600000E+01 0.79999998E-01 0.40174114E-02
0.11800000E+01 0.79999998E-01 0.41468483E-02
0.12000000E+01 0.79999998E-01 0.42745305E-02
0.12200000E+01 0.79999998E-01 0.44002769E-02
0.12400000E+01 0.79999998E-01 0.45239830E-02
0.12600000E+01 0.79999998E-01 0.46456370E-02
0.12800000E+01 0.79999998E-01 0.47653357E-02
0.13000000E+01 0.79999998E-01 0.48833019E-02
0.13200000E+01 0.79999998E-01 0.49999001E-02
0.13400000E+01 0.79999998E-01 0.51156528E-02
0.13600000E+01 0.79999998E-01 0.52312535E-02
0.13800000E+01 0.79999998E-01 0.53475771E-02
0.14000000E+01 0.79999998E-01 0.54656841E-02
0.14200000E+01 0.79999998E-01 0.55868164E-02
0.14400000E+01 0.79999998E-01 0.57123809E-02
0.14600000E+01 0.79999998E-01 0.58439130E-02
0.14800000E+01 0.79999998E-01 0.59830115E-02
0.15000000E+01 0.79999998E-01 0.61312276E-02
0.15200000E+01 0.79999998E-01 0.62898784E-02
0.15400000E+01 0.79999998E-01 0.64597201E-02
0.15600000E+01 0.79999998E-01 0.66408156E-02
0.15800000E+01 0.79999998E-01 0.68264591E-02
0.16000000E+01 0.79999998E-01 0.70119050E-02
0.16200000E+01 0.79999998E-01 0.71967259E-02
0.16400000E+01 0.79999998E-01 0.73804577E-02
0.16600000E+01 0.79999998E-01 0.75625956E-02
0.16800000E+01 0.79999998E-01 0.77425913E-02
0.17000000E+01 0.79999998E-01 0.79198485E-02
0.17200000E+01 0.79999998E-01 0.80937181E-02
0.17400000E+01 0.79999998E-01 0.82634927E-02
0.17600000E+01 0.79999998E-01 0.84284002E-02
0.17800000E+01 0.79999998E-01 0.85875957E-02
0.18000000E+01 0.79999998E-01 0.87401530E-02
0.18200000E+01 0.79999998E-01 0.88850534E-02
0.18400000E+01 0.79999998E-01 0.90211729E-02
0.18600000E+01 0.79999998E-01 0.91472665E-02
0.18800000E+01 0.79999998E-01 0.92619492E-02
0.19000000E+01 0.79999998E-01 0.93636716E-02
0.19200000E+01 0.79999998E-01 0.94506894E-02
0.19400000E+01 0.79999998E-01 0.95210228E-02
0.19600000E+01 0.79999998E-01 0.95724016E-02
0.19800000E+01 0.79999998E-01 0.96021862E-02
0.20000000E+01 0.79999998E-01 0.96072510E-02
0.00000000E+00 0.99999998E-01 0.97299139E-06
0.20000000E-01 0.99999998E-01 0.30701316E-04
0.39999999E-01 0.99999998E-01 0.67153276E-04
0.59999999E-01 0.99999998E-01 0.11018867E-03
0.79999998E-01 0.99999998E-01 0.15959689E-03
0.99999998E-01 0.99999998E-01 0.21508362E-03
0.12000000E+00 0.99999998E-01 0.27625532E-03
0.14000000E+00 0.99999998E-01 0.34260019E-03
0.16000000E+00 0.99999998E-01 0.41346390E-03
0.18000000E+00 0.99999998E-01 0.48801659E-03
0.20000000E+00 0.99999998E-01 0.56520408E-03
