# C_CrxOy	e_real	e_imag	R	alpha	1/alpha
#				nm-1	nm
0.064	4.2302068580129	21.613456961002	0.521225	0.0365322	27.373111939604
0.065	4.2869771836448	21.553074504632	0.520401	0.0364243	27.4541995316314
0.066	4.3431520564819	21.492561492357	0.519579	0.0363165	27.5356931422356
0.067	4.3987336266847	21.43192428345	0.518758	0.0362091	27.6173669050045
0.068	4.4537241077695	21.37116916192	0.517938	0.0361019	27.6993731631853
0.069	4.5081257748303	21.310302336246	0.517119	0.0359949	27.7817135205265
0.07	4.5619409627765	21.249329939137	0.516302	0.0358883	27.8642343047734
0.071	4.6151720645853	21.188258027336	0.515486	0.0357819	27.9470905681364
0.072	4.6678215295721	21.127092581452	0.514671	0.0356757	28.0302839187458
0.073	4.7198918616764	21.06583950583	0.513857	0.0355699	28.1136578961425
0.074	4.7713856177661	21.004504628451	0.513045	0.0354643	28.1973703132446
0.075	4.8223054059595	20.94309370087	0.512234	0.035359	28.2813427981561
0.076	4.872653883966	20.881612398175	0.511424	0.035254	28.3655755375277
0.077	4.9224337574446	20.820066318989	0.510616	0.0351492	28.4501496477872
0.078	4.971647778383	20.758460985489	0.509808	0.0350448	28.5349038944437
0.079	5.0202987434948	20.696801843466	0.509002	0.0349406	28.62000080136
0.08	5.0683894926379	20.635094262406	0.508198	0.0348367	28.7053595776868
0.081	5.1159229072524	20.573343535596	0.507394	0.0347331	28.7909803616723
0.082	5.1629019088187	20.511554880266	0.506592	0.0346298	28.8768632796031
0.083	5.2093294573371	20.449733437747	0.505791	0.0345269	28.9629245602704
0.084	5.2552085498279	20.387884273659	0.504992	0.0344242	29.0493315748805
0.085	5.3005422188526	20.326012378122	0.504194	0.0343218	29.1360010255872
0.086	5.3453335310574	20.264122665992	0.503397	0.0342197	29.2229329888924
0.087	5.3895855857366	20.202219977115	0.502601	0.0341179	29.3101275283649
0.088	5.4333015134197	20.140309076609	0.501807	0.0340164	29.3975846944415
0.089	5.4764844744789	20.078394655161	0.501014	0.0339152	29.4853045242251
0.09	5.519137657759	20.016481329351	0.500222	0.0338144	29.5731995836093
0.091	5.5612642792301	19.95457364199	0.499432	0.0337138	29.6614442750446
0.092	5.6028675806611	19.892676062477	0.498643	0.0336136	29.7498631506295
0.093	5.6439508283168	19.830792987181	0.497855	0.0335136	29.8386326744963
0.094	5.6845173116765	19.768928739832	0.497069	0.033414	29.9275752678518
0.095	5.7245703421747	19.707087571934	0.496284	0.0333147	30.0167793796732
0.096	5.764113251965	19.645273663193	0.4955	0.0332157	30.1062449383876
0.097	5.8031493927056	19.583491121958	0.494717	0.0331171	30.1958806779579
0.098	5.8416821343671	19.521743985683	0.493936	0.0330187	30.2858683109874
0.099	5.8797148640631	19.460036221396	0.493156	0.0329207	30.3760248111371
0.1	5.9172509849024	19.398371726186	0.492378	0.032823	30.4664412150017
0.101	5.9542939148638	19.336754327702	0.491601	0.0327256	30.5571173637764
0.102	5.9908470856925	19.275187784662	0.490825	0.0326286	30.6479591524
0.103	6.0269139418193	19.213675787381	0.490051	0.0325318	30.7391536896206
0.104	6.0624979393008	19.152221958299	0.489278	0.0324354	30.8305123414541
0.105	6.0976025447822	19.090829852527	0.488506	0.0323394	30.922033185526
0.106	6.1322312344811	19.029502958405	0.487735	0.0322436	31.0139066357355
