37960053.933549921698+8229969.7687072423833*I	10690280.612952854810+70880.614631298032572*I	10690282.385287995020+70882.991414844650985*I
37151166.217450838889+7372866.5485248029115*I	10682004.959190144824+65865.776686226472418*I	10682006.080655953977+65867.359806405660141*I
36423895.559379510455+6607902.1708590232174*I	10674258.871132650266+61285.749663550996780*I	10674259.571129223472+61286.797574731223299*I
35770349.323077127318+5925123.1917019811811*I	10667003.661320505746+57094.019526324333543*I	10667004.091808450139+57094.708416220873266*I
35183156.396198437350+5315715.7734319065906*I	10660203.789830369877+53250.025502551721741*I	10660204.050294874647+53250.474987841452767*I
34655513.113750830707+4771830.7273167758092*I	10653826.612114169156+49718.283403944787204*I	10653826.766876213977+49718.574304608676805*I
34181200.166812736366+4286451.0867183439129*I	10647842.137925173326+46467.652948566194412*I	10647842.228017005524+46467.839568680997346*I
33754577.326501974318+3853290.2213140745156*I	10642222.804569487396+43470.723298447820304*I	10642222.855790479321+43470.841895799070607*I
33370561.998863202677+3466711.1635412527495*I	10636943.266060475287+40703.295966442063069*I	10636943.294378134926+40703.370578523429652*I
33024596.835938943403+3121660.3166579341172*I	10631980.198662065318+38143.948192455674643*I	10631980.213788437627+38143.994630200217993*I
32712610.763890334892+2813610.8391638151557*I	10627312.122606453387+35773.663046039496842*I	10627312.130335161696+35773.691619626210459*I
32430976.881358767708+2538512.6602117485643*I	10622919.239338967138+33575.515044168728846*I	10622919.243050791114+33575.532413599534141*I
32176469.803821802364+2292747.2793080670496*I	10618783.283392039822+31534.402109156712286*I	10618783.285009988443+31534.412532766431083*I
31946224.248524103421+2073086.3056039442316*I	10614887.387861819627+29636.816333738407844*I	10614887.388446841206+29636.822504414849285*I
31737696.008336027211+1876653.1869817006517*I	10611215.962413609016+27870.647348602080228*I	10611215.962529277729+27870.650949258186959*I
