#Angle(degree)	CountsImageJ(au)	Offset(=Counts-Min(Counts))	Normalization
-25	570.1072	179.409	0.1039467782
-24	538.553	147.8548	0.0856647666
-23	536.9937	146.2955	0.0847613324
-22	572.9626	182.2644	0.1056011525
-21	613.66	222.9618	0.1291805917
-20	617.9868	227.2886	0.1316874722
-19	638.9669	248.2687	0.1438430151
-18	642.7962	252.098	0.1460616518
-17	660.3867	269.6885	0.1562533134
-16	651.0381	260.3399	0.1508368802
-15	696.459	305.7608	0.1771530417
-14	707.5126	316.8144	0.1835573253
-13	664.6127	273.9145	0.1587017919
-12	724.7708	334.0726	0.1935564574
-11	727.5656	336.8674	0.1951757209
-10	709.291	318.5928	0.1845877025
-9	736.6142	345.916	0.2004183387
-8	810.3617	419.6635	0.2431464907
-7	820.0087	429.3105	0.2487358122
-6	856.6613	465.9631	0.2699717573
-5	900.0403	509.3421	0.2951048738
-4	920.1714	529.4732	0.3067685194
-3	914.6715	523.9733	0.303581963
-2	946.1002	555.402	0.3217912619
-1	949.8842	559.186	0.3239836526
0	995.416	604.7178	0.3503640678
1	1018.2997	627.6015	0.3636225269
2	1052.5984	661.9002	0.3834946591
3	1070.0328	679.3346	0.3935958787
4	1080.9829	690.2847	0.3999401959
5	1098.1353	707.4371	0.4098780292
6	1108.6033	717.9051	0.4159430252
7	1134.8007	744.1025	0.4311213904
8	1135.6874	744.9892	0.4316351306
9	1185.5723	794.8741	0.4605376641
10	1216.8248	826.1266	0.4786448755
11	1246.9423	856.2441	0.4960944855
12	1325.7925	935.0943	0.5417790624
13	1360.9252	970.227	0.5621344012
14	1387.3479	996.6497	0.5774433017
15	1414.3895	1023.6913	0.5931107833
16	1473.1432	1082.445	0.6271517613
17	1497.7449	1107.0467	0.6414056028
18	1506.7047	1116.0065	0.6465967713
19	1574.2609	1183.5627	0.6857377806
20	1552.4525	1161.7543	0.6731023335
21	1589.3699	1198.6717	0.6944916997
22	1608.4478	1217.7496	0.7055451376
23	1680.4562	1289.758	0.7472656822
24	1691.7251	1301.0269	0.7537947072
25	1674.7542	1284.056	0.7439620322
26	1779.7345	1389.0363	0.8047859818
27	1764.5752	1373.877	0.7960029196
28	1841.5898	1450.8916	0.8406239785
29	1940.0607	1549.3625	0.8976764831
30	1911.3464	1520.6482	0.8810398652
31	1957.2352	1566.537	0.9076271207
32	1929.1913	1538.4931	0.8913789222
33	1984.3181	1593.6199	0.9233185308
34	2051.5374	1660.8392	0.9622643455
35	2012.0151	1621.3169	0.9393657409
36	2078.3213	1687.6231	0.9777825197
37	2018.8992	1628.201	0.9433542812
38	2049.3374	1658.6392	0.9609896998
39	2101.3926	1710.6944	0.9911496713
40	2116.668	1725.9698	1
41	2107.7073	1717.0091	0.9948083101
42	2072.3496	1681.6514	0.9743226098
43	2059.4663	1668.7681	0.9668582266
44	2073.5564	1682.8582	0.9750218109
45	2097.3687	1706.6705	0.9888182864
46	2093.427	1702.7288	0.9865345268
47	2102.2117	1711.5135	0.9916242451
48	2084.3757	1693.6775	0.9812903447
49	2005.776	1615.0778	0.9357509036
50	1953.5469	1562.8487	0.9054901772
51	1938.0145	1547.3163	0.8964909467
52	1884.1417	1493.4435	0.8652778861
53	1813.1521	1422.4539	0.8241476183
54	1799.9091	1409.2109	0.8164748306
55	1790.6639	1399.9657	0.8111183058
56	1722.5782	1331.88	0.7716705124
57	1710.4905	1319.7923	0.7646670875
58	1650.6978	1259.9996	0.730024129
59	1582.1777	1191.4795	0.6903246511
60	1533.9865	1143.2883	0.662403421
61	1487.1753	1096.4771	0.6352817413
62	1467.7092	1077.011	0.6240033864
63	1401.2301	1010.5319	0.585486432
64	1345.8434	955.1452	0.5533962413
65	1268.6448	877.9466	0.5086685758
66	1295.3351	904.6369	0.5241325196
67	1254.3333	863.6351	0.5003767157
68	1154.4784	763.7802	0.4425223431
69	1126.9307	736.2325	0.4265616351
70	1112.933	722.2348	0.4184515859
71	1096.0109	705.3127	0.4086471849
72	1070.5897	679.8915	0.3939185379
73	1052.5482	661.85	0.383465574
74	980.204	589.5058	0.3415504721
75	973.2859	582.5877	0.3375422328
76	954.6527	563.9545	0.3267464471
77	947.866	557.1678	0.3228143389
78	891.1862	500.488	0.2899749463
79	834.4594	443.7612	0.2571083225
80	846.8914	456.1932	0.2643112295
81	848.7803	458.0821	0.2654056288
82	798.2055	407.5073	0.2361033779
83	771.5565	380.8583	0.2206633627
84	801.5665	410.8683	0.238050689
85	765.0707	374.3725	0.2169055913
86	773.2806	382.5824	0.2216622794
87	764.0328	373.3346	0.2163042482
88	689.4805	298.7823	0.1731098076
89	668.8333	278.1351	0.1611471417
