#Angle(degree)	CountsImageJ(au)	Offset(=Counts-Min(Counts))	Normalization
-32	23.2536	4.4088	0.030534182
-31	24.002	5.1572	0.0357174023
-30	24.0064	5.1616	0.0357478755
-29	27.3933	8.5485	0.0592046486
-28	20.7529	1.9081	0.0132149956
-27	22.6731	3.8283	0.0265137926
-26	22.5499	3.7051	0.025660542
-25	29.8027	10.9579	0.0758915153
-24	24.9341	6.0893	0.0421728802
-23	29.7093	10.8645	0.0752446516
-22	25.9427	7.0979	0.0491581769
-21	31.3762	12.5314	0.0867891598
-20	32.3675	13.5227	0.0936546413
-19	35.9289	17.0841	0.1183199551
-18	39.7181	20.8733	0.1445629515
-17	46.4183	27.5735	0.1909667634
-16	46.6396	27.7948	0.1924994286
-15	42.7814	23.9366	0.1657785565
-14	39.3719	20.5271	0.1421652619
-13	38.4076	19.5628	0.1354867753
-12	36.7648	17.92	0.1241091773
-11	44.0875	25.2427	0.1748242595
-10	33.7221	14.8773	0.1030362424
-9	31.4494	12.6046	0.0872961237
-8	40.9661	22.1213	0.1532062692
-7	34.6402	15.7954	0.10939476
-6	36.1809	17.3361	0.1200652404
-5	44.1297	25.2849	0.1751165255
-4	37.1555	18.3107	0.1268150621
-3	38.22	19.3752	0.1341875074
-2	43.4164	24.5716	0.1701763985
-1	39.1846	20.3398	0.1408680717
0	44.6697	25.8249	0.1788564226
1	42.6572	23.8124	0.1649183802
2	49.9539	31.1091	0.2154533933
3	45.1423	26.2975	0.1821295251
4	53.891	35.0462	0.2427207059
5	50.3707	31.5259	0.2183400398
6	51.2032	32.3584	0.2241057144
7	48.8138	29.969	0.2075573624
8	44.0814	25.2366	0.1747820125
9	44.2352	25.3904	0.1758471906
10	39.1947	20.3499	0.1409380216
11	55.5045	36.6597	0.2538953798
12	60.0093	41.1645	0.2850944324
13	47.4759	28.6311	0.1982914211
14	47.3755	28.5307	0.1975960773
15	59.569	40.7242	0.2820450311
16	60.1301	41.2853	0.2859310612
17	60.562	41.7172	0.2889222863
18	63.4946	44.6498	0.3092326978
19	61.5151	42.6703	0.2955232047
20	59.5716	40.7268	0.282063038
21	54.6591	35.8143	0.2480403632
22	69.746	50.9012	0.3525282397
23	62.2907	43.4459	0.300894805
24	63.7688	44.924	0.3111317344
25	73.5377	54.6929	0.3787885504
26	70.8111	51.9663	0.3599048404
27	75.8404	56.9956	0.3947364411
28	68.5024	49.6576	0.3439153952
29	84.0115	65.1667	0.4513273172
30	96.3568	77.512	0.5368275977
31	86.9587	68.1139	0.4717388444
32	89.9202	71.0754	0.4922494096
33	97.2802	78.4354	0.5432228217
34	104.709	85.8642	0.5946727244
35	110.6617	91.8169	0.6358995491
36	107.5639	88.7191	0.6144450062
37	114.4373	95.5925	0.6620483555
38	122.539	103.6942	0.7181585855
39	127.4331	108.5883	0.7520538268
40	132.3731	113.5283	0.7862669594
41	132.3801	113.5353	0.7863154395
42	149.5632	130.7184	0.9053210425
43	139.4527	120.6079	0.8352983953
44	163.2338	144.389	1
45	162.1949	143.3501	0.9928048536
46	161.0114	142.1666	0.9846082458
47	144.0434	125.1986	0.8670923685
48	136.9417	118.0969	0.8179078739
49	143.4677	124.6229	0.8631052227
50	136.7298	117.885	0.8164403105
51	146.7683	127.9235	0.8859643048
52	138.1939	119.3491	0.8265802797
53	122.3138	103.469	0.7165989099
54	126.087	107.2422	0.7427310945
55	125.3369	106.4921	0.7375361004
56	137.9954	119.1506	0.8252055212
57	140.632	121.7872	0.843465915
58	139.9344	121.0896	0.838634522
59	135.3515	116.5067	0.8068945695
60	140.1144	121.2696	0.8398811544
61	132.7388	113.894	0.7887997008
62	126.8803	108.0355	0.7482252803
63	127.1522	108.3074	0.7501083878
64	114.5771	95.7323	0.6630165733
65	116.1829	97.3381	0.6741379191
66	108.3202	89.4754	0.6196829398
67	111.8039	92.9591	0.643810124
68	99.5991	80.7543	0.5592829094
69	98.2608	79.416	0.5500141978
70	93.7151	74.8703	0.5185318826
71	75.2409	56.3961	0.3905844628
72	87.7747	68.9299	0.4773902444
73	90.5647	71.7199	0.496713046
74	104.1637	85.3189	0.5908961209
75	98.6097	79.7649	0.5524305868
76	103.1104	84.2656	0.5836012439
77	97.8127	78.9679	0.5469107758
78	107.1554	88.3106	0.6116158433
79	91.987	73.1422	0.5065635194
80	86.7346	67.8898	0.4701867871
81	79.4888	60.644	0.420004294
82	76.516	57.6712	0.3994154679
83	81.2825	62.4377	0.4324269854
84	84.803	65.9582	0.4568090367
85	64.8555	46.0107	0.318657931
86	69.3364	50.4916	0.3496914585
87	68.4203	49.5755	0.3433467923
88	57.4049	38.5601	0.2670570473
89	69.9208	51.076	0.3537388582
